t,x,y,z,vx,vy,l2_actual,cy_pos_y,cy_neg_y
3.214,0.3185792352731207,-0.5454210022226573,0.2502693422138275,0.09657360695617519,-0.14590372283728473,0.5787999999999999,-0.2895250010338463,-0.8013170034114683
3.216,0.31876614796833536,-0.5457276327591547,0.25022132469232783,0.09345634760732965,-0.1533152682486785,0.5787999999999999,-0.28988005728501354,-0.8015752082332959
3.218,0.3189472273075424,-0.5460434613841071,0.2501491335664793,0.09053966960350304,-0.15791431247620552,0.5788000000000001,-0.29023906430398794,-0.8018478584642262
3.22,0.31912263347168446,-0.5463648129272468,0.2500489207572355,0.08770308207103793,-0.16067577156988092,0.5788000000000001,-0.29059945161028267,-0.802130174244211
3.222,0.3192709695218124,-0.5466825956639335,0.24995827199123838,0.0741680250639611,-0.15889136834333412,0.5788000000000001,-0.2909643325018421,-0.802400858826025
3.224,0.3194432442769746,-0.5469136876417618,0.25004302842879617,0.0861373775811292,-0.11554598891414025,0.5787999999999998,-0.2912372840685961,-0.8025900912149275
3.226,0.3196506566240033,-0.5471092446932886,0.2501590097407734,0.10370617351436388,-0.09777852576338364,0.5788000000000001,-0.29146436915565355,-0.8027541202309236
3.228,0.31983723339396164,-0.5473068576200629,0.2502639587346937,0.09328838497914414,-0.09880646338714251,0.5788000000000001,-0.29170214989415766,-0.8029115653459682
3.23,0.32000661386899937,-0.547508514747191,0.2503516741453159,0.08469023751885832,-0.10082856356400272,0.5788000000000001,-0.2919492155990848,-0.8030678138952971
3.232,0.32016242357802577,-0.5477143268465299,0.2504178600492439,0.07790485451319601,-0.10290604966945315,0.5788000000000001,-0.29220377966221933,-0.8032248740308404
3.234,0.3203074846886902,-0.5479239999317986,0.2504594066857583,0.07253055533219935,-0.10483654263438918,0.5788000000000002,-0.29246437608555126,-0.8033836237780461
3.236,0.32044377258102313,-0.5481372688381894,0.25047407696537666,0.0681439461664789,-0.10663445319537576,0.5788,-0.29272997532473866,-0.8035445623516401
3.238,0.3205726438839425,-0.5483539014298171,0.25046028428393324,0.06443565145968125,-0.10831629581385749,0.5788,-0.29299986359840613,-0.8037079392612281
3.24,0.32069501607675505,-0.5485737148451895,0.2504169296223245,0.06118609640627506,-0.1099067076861865,0.5788,-0.2932735552702741,-0.8038738744201048
3.242,0.32081149959162303,-0.5487965759237328,0.2503432701826808,0.05824175743398218,-0.11143053927163063,0.5787999999999999,-0.29355072656278164,-0.8040424252846838
3.244,0.3209224929362728,-0.5490223944158804,0.2502388176802055,0.0554966723248672,-0.11290924607383046,0.5788000000000001,-0.2938311667088186,-0.8042136221229422
3.246,0.32102825003178453,-0.5492511139806185,0.2501032621338373,0.05287854775586824,-0.11435978236904572,0.5787999999999998,-0.2941147426982364,-0.8043874852630006
3.248,0.32112013197240574,-0.549490501457326,0.24996986079629416,0.04594097031060496,-0.1196937383537638,0.5787999999999999,-0.2944116954440738,-0.8045693074705782
3.25,0.3212007477111817,-0.5497348558445463,0.24982939701708376,0.04030786938796398,-0.12217719361010339,0.5788,-0.2947158312011604,-0.8047538804879322
3.2520000000000002,0.3213327912634151,-0.5499211485684976,0.24975914329344617,0.06602177611668593,-0.09314636197564369,0.5788,-0.29494098958259657,-0.8049013075543987
3.254,0.3214478532772113,-0.5501076443211085,0.24967442386948233,0.05753100689810946,-0.09324787630543138,0.5788,-0.295174744390602,-0.805040544251615
3.2560000000000002,0.32154920729167846,-0.5502965082460236,0.24957002325966246,0.050677007233573775,-0.09443196245758026,0.5788,-0.29541593145745115,-0.8051770850345961
3.258,0.32163911630262254,-0.5504889204433817,0.24944229473695861,0.044954505472032086,-0.09620609867907001,0.5787999999999999,-0.2956636955365363,-0.805314145350227
3.2600000000000002,0.32177768471103374,-0.5506285315150053,0.249473552550809,0.069284204205597,-0.06980553581181491,0.5788,-0.29584797643193855,-0.8054090865980721
3.262,0.32190568740850184,-0.5507728804124794,0.24948091673123787,0.0640013487340603,-0.0721744487370184,0.5788000000000001,-0.29603862198246045,-0.8055071388424984
3.2640000000000002,0.3220253173334868,-0.550921365089133,0.24946157642302694,0.05981496249249305,-0.07424233832682257,0.5788000000000001,-0.2962343961008639,-0.8056083340774022
3.266,0.32213801804298325,-0.5510735563228056,0.24941365451200057,0.05635035474822556,-0.07609561683628376,0.5788000000000001,-0.29643448175514703,-0.8057126308904643
3.2680000000000002,0.3222692375902544,-0.551275109548883,0.2493945401797966,0.0656097736355772,-0.10077661303870532,0.5788,-0.2966847165725799,-0.8058655025251862
3.27,0.32241347842248597,-0.551518081213678,0.24939076021465584,0.07212041611579373,-0.1214858323974583,0.5788000000000001,-0.2969772962697937,-0.8060588661575623
3.2720000000000002,0.3225921097957734,-0.5517056091490441,0.24954638253290864,0.08931568664372586,-0.09376396768308522,0.5788000000000001,-0.29720773966352,-0.8062034786345682
3.274,0.3227707481206785,-0.5519055662138134,0.24967513738231076,0.08931916245254229,-0.09997853238463626,0.5788,-0.2974475819876038,-0.806363550440023
3.2760000000000002,0.322949386551474,-0.5521137572385492,0.24977284023569604,0.08931921539771819,-0.10409551236788969,0.5788000000000001,-0.29769361802280275,-0.8065338964542956
3.278,0.3231152942799918,-0.5523221448811625,0.24984426024627893,0.08295386425890246,-0.10419382130665747,0.5788000000000001,-0.29794607309486165,-0.8066982166674633
3.2800000000000002,0.3232711533672716,-0.5525318361188587,0.2498878241977412,0.07792954363987949,-0.10484561884808127,0.5787999999999998,-0.29820382775600035,-0.806859844481717
3.282,0.3234187055747661,-0.5527435994442834,0.24990255926244914,0.07377610374726752,-0.105881662712368,0.5788,-0.29846617111433016,-0.8070210277742367
3.2840000000000003,0.3235590592568435,-0.5529578825656116,0.2498878062709991,0.07017684103868461,-0.10714156066409898,0.5788000000000001,-0.29873263396973193,-0.8071831311614913
3.286,0.3236994123629478,-0.5531721659997029,0.24983381327947912,0.07017655305216945,-0.10714171704560653,0.5788,-0.29899913335322803,-0.8073451986461777
3.2880000000000003,0.32388704507163185,-0.5533381780343604,0.249933306181585,0.09381635434203667,-0.08300601732875362,0.5788000000000001,-0.29920826686485535,-0.8074680892038654
3.29,0.3240645481397516,-0.5535091801701607,0.25000874030791387,0.08875153405988712,-0.08550106790019779,0.5788,-0.29942354608667854,-0.8075948142536429
3.2920000000000003,0.3242337691129822,-0.5536844696429938,0.250057549186961,0.08461048661527691,-0.08764473641655418,0.5788000000000001,-0.29964387299907275,-0.8077250662869149
3.294,0.3244029893851847,-0.5538597594977958,0.2500671180659614,0.08461013610125359,-0.08764492740099845,0.5788,-0.2998642317198314,-0.8078552872757601
3.2960000000000003,0.32456327839484755,-0.5540401711917811,0.25005155400922185,0.08014450483143137,-0.0902058469926727,0.5788,-0.30009013793580525,-0.8079902044477569
3.298,0.32472356668068125,-0.5542205832807948,0.24999674995261723,0.08014414291685903,-0.09020604450689798,0.5788,-0.3003160797295554,-0.8081250868320342
3.3000000000000003,0.3248838549313594,-0.5544009953890056,0.24990270589602878,0.08014412533908626,-0.09020605410534945,0.5788000000000001,-0.30054205617710994,-0.8082599346009012
3.302,0.32506790377519584,-0.5545321276699485,0.2499844138382342,0.09202442191823029,-0.06556614047149367,0.5788,-0.30071331583423033,-0.8083509395056667
3.3040000000000003,0.3252321515612048,-0.5546791272936867,0.2500638934547748,0.08212389300447792,-0.07349981186911372,0.5788,-0.30090718214793843,-0.808451072439435
3.306,0.3253864692602798,-0.5548293647537934,0.25011733431720556,0.07715884953752096,-0.075118730053358,0.5788000000000001,-0.3011068272344421,-0.8085519022731447
3.3080000000000003,0.3255327164667314,-0.5549828141471695,0.25014284920511,0.07312360322577471,-0.0767246966880504,0.5787999999999999,-0.30131128933096435,-0.8086543389633747
3.31,0.32567212165681014,-0.5551394170610039,0.2501391488545903,0.06970259503938983,-0.07830145691715681,0.5788,-0.30151992477881484,-0.8087589093431929
3.3120000000000003,0.32581152620401255,-0.5552960203275952,0.25009620850438646,0.06970227360119195,-0.07830163329565967,0.5787999999999999,-0.3017285972482923,-0.808863443406898
3.314,0.3259509307199865,-0.5554526236113391,0.25001402815420976,0.06970225798697051,-0.07830164187193918,0.5788,-0.30193730595045404,-0.8089679412722242
3.3160000000000003,0.32610704311115063,-0.5556594788023062,0.249959787735188,0.07805619558206371,-0.10342759548352812,0.5788000000000001,-0.3021948238024322,-0.8091241338021802
3.318,0.32633080837490686,-0.5558447595313714,0.24997905419977118,0.1118826318781182,-0.09264036453261613,0.5787999999999999,-0.30242473016538923,-0.8092647888973534
3.3200000000000003,0.3265363653913636,-0.5560424498314496,0.24998981936961026,0.10277850822838482,-0.09884515003912021,0.5788000000000001,-0.3026665145853431,-0.809418385077556
3.322,0.32671821673736084,-0.5562606081920681,0.25000977376602307,0.09092567299862868,-0.10907918030926504,0.5788,-0.302937334274153,-0.8095838821099832
3.3240000000000003,0.32688205806375836,-0.556493144836819,0.25002597279131883,0.0819206631987639,-0.11626832237545558,0.5788000000000001,-0.3032293168032965,-0.8097569728703415
3.326,0.32703638332509505,-0.556727369705818,0.2500141217384729,0.07716263066834997,-0.11711243449952732,0.5788,-0.30352656146669277,-0.8099281779449433
3.3280000000000003,0.32718302935167815,-0.5569637675668426,0.24997287161772705,0.07332301329154861,-0.11819893051229531,0.5788,-0.3038282206231588,-0.8100993145105264
3.33,0.3273489277872898,-0.5572309944543964,0.24994260215204958,0.0829492178058356,-0.13361344377686943,0.5788,-0.3041583370645248,-0.810303651844268
3.332,0.3275102849791064,-0.5575007612494798,0.249880174705963,0.08067859590830333,-0.13488339754167797,0.5788,-0.30449127325421593,-0.8105102492447436
3.334,0.3276716419345349,-0.5577705281755668,0.24977850725997489,0.08067847771425583,-0.134883463043532,0.5788,-0.304824276623849,-0.8107167797272847
3.336,0.3278614941016498,-0.5580939037450533,0.24972996236509873,0.09492608355742792,-0.16168778474325865,0.5788000000000001,-0.30519683397332603,-0.8109909735167806
3.338,0.32810878101558033,-0.5583859075289129,0.24976109127378932,0.12364345696528911,-0.1460018919298132,0.5788,-0.30551724838012373,-0.8112545666777021
3.34,0.3283734688564979,-0.5587091462541717,0.24980152708075057,0.13234392045877544,-0.1616193626293914,0.5788,-0.3058625295374635,-0.8115557629708798
3.342,0.32860989296074555,-0.5590430147687918,0.24984823808163276,0.11821205212384733,-0.1669342573100716,0.5788,-0.30623249118629725,-0.8118535383512864
3.344,0.3288282057428952,-0.5593769066902704,0.24987381911810536,0.1091563910747973,-0.16694596073931534,0.5788000000000001,-0.3066119062909922,-0.8121419070895486
3.346,0.3290331713297674,-0.5597108121130925,0.24987350681763248,0.1024827934361003,-0.16695271141103155,0.5788000000000001,-0.30699825934252045,-0.8124233648836645
3.348,0.3292279043709907,-0.5600447244306136,0.24984418672662217,0.09736652061164568,-0.16695615876055547,0.5788,-0.30738991161096413,-0.812699537250263
3.35,0.32942263674865985,-0.5603786371180987,0.24977562663574718,0.09736618883456162,-0.1669563437425356,0.5788000000000001,-0.3077816160399557,-0.8129756581962416
3.352,0.3296147994902758,-0.5607239975251057,0.24968182017987528,0.09608137080796338,-0.17268020350352775,0.5788000000000001,-0.3081808736568975,-0.8132671213933139
